,Setor,Subsetor,Atividade
CBSC-CRA1BB0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
CBSC-CRA21B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
CIEL3,Financeiro , Serviços Financeiros Diversos , Serviços Financeiros Diversos
CMSA4,Outros , Outros , Outros
CMSA3,Outros , Outros , Outros
CNSY3,Consumo Cíclico , Mídia , Produção e Difusão de Filmes e Programas
CRTE3B,Bens Industriais , Transporte , Exploração de Rodovias
CRTE5B,Bens Industriais , Transporte , Exploração de Rodovias
ODER4,Consumo não Cíclico , Alimentos Processados , Alimentos Diversos
ODER3,Consumo não Cíclico , Alimentos Processados , Alimentos Diversos
BRGE6,Financeiro , Previdência e Seguros , Seguradoras
BRGE11,Financeiro , Previdência e Seguros , Seguradoras
BRGE12,Financeiro , Previdência e Seguros , Seguradoras
BRGE3,Financeiro , Previdência e Seguros , Seguradoras
BRGE5,Financeiro , Previdência e Seguros , Seguradoras
BRGE7,Financeiro , Previdência e Seguros , Seguradoras
BRGE8,Financeiro , Previdência e Seguros , Seguradoras
CALI4,Consumo Cíclico , Construção Civil , Incorporações
CALI3,Consumo Cíclico , Construção Civil , Incorporações
TEND3,Consumo Cíclico , Construção Civil , Incorporações
CORR3,Financeiro , Exploração de Imóveis , Exploração de Imóveis
CORR4,Financeiro , Exploração de Imóveis , Exploração de Imóveis
RLOG3,Bens Industriais , Transporte , Transporte Ferroviário
CSAN3,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Exploração. Refino e Distribuição
CPFE3,Utilidade Pública , Energia Elétrica , Energia Elétrica
CPRE3,Utilidade Pública , Energia Elétrica , Energia Elétrica
CRDE3,Consumo Cíclico , Construção Civil , Incorporações
CRPG3,Materiais Básicos , Químicos , Químicos Diversos
CRPG5,Materiais Básicos , Químicos , Químicos Diversos
CRPG6,Materiais Básicos , Químicos , Químicos Diversos
CARD3,Bens Industriais , Serviços , Serviços Diversos
CTCA3,Consumo não Cíclico , Agropecuária , Agricultura
TRPL3,Utilidade Pública , Energia Elétrica , Energia Elétrica
TRPL4,Utilidade Pública , Energia Elétrica , Energia Elétrica
CVCB3,Consumo Cíclico , Viagens e Lazer , Viagens e Turismo
CYRE3,Consumo Cíclico , Construção Civil , Incorporações
CCPR3,Financeiro , Exploração de Imóveis , Exploração de Imóveis
DASA3,Saúde , Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
PNVL3,Saúde , Comércio e Distribuição , Medicamentos e Outros Produtos
PNVL4,Saúde , Comércio e Distribuição , Medicamentos e Outros Produtos
DIRR3,Consumo Cíclico , Construção Civil , Incorporações
DOHL4,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
DOHL3,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
DMMO3,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Exploração. Refino e Distribuição
DMMO11,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Exploração. Refino e Distribuição
DTCY4,Bens Industriais , Serviços , Serviços Diversos
DTCY3,Bens Industriais , Serviços , Serviços Diversos
DTEX3,Materiais Básicos , Madeira e Papel , Madeira
ECOA-CRA81B0,Não Classificados , Não Classificado , Não Classificados
ECOA-CRA91B0,Não Classificados , Não Classificado , Não Classificados
ECOA-CRAA4B0,Não Classificados , Não Classificado , Não Classificados
ECOA-CRAA7B0,Não Classificados , Não Classificado , Não Classificados
ECOA-CRA94B0,Não Classificados , Não Classificado , Não Classificados
ECOA-CRAA5B0,Não Classificados , Não Classificado , Não Classificados
ECOA-CRA05B0,Não Classificados , Não Classificado , Não Classificados
ECOA-CRA93B0,Não Classificados , Não Classificado , Não Classificados
ECOA-CRAA6B0,Não Classificados , Não Classificado , Não Classificados
ECOA-CRA92B0,Não Classificados , Não Classificado , Não Classificados
ECOA-CRA80B0,Não Classificados , Não Classificado , Não Classificados
ECOR3,Bens Industriais , Transporte , Exploração de Rodovias
ENBR3,Utilidade Pública , Energia Elétrica , Energia Elétrica
EALT3,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
EALT4,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
ELEK3,Materiais Básicos , Químicos , Petroquímicos
ELEK4,Materiais Básicos , Químicos , Petroquímicos
EKTR4,Utilidade Pública , Energia Elétrica , Energia Elétrica
EKTR3,Utilidade Pública , Energia Elétrica , Energia Elétrica
LIPR3,Utilidade Pública , Energia Elétrica , Energia Elétrica
ETRO3B,Outros , Outros , Outros
ELPL3,Utilidade Pública , Energia Elétrica , Energia Elétrica
EMAE3,Utilidade Pública , Energia Elétrica , Energia Elétrica
EMAE4,Utilidade Pública , Energia Elétrica , Energia Elétrica
EMBR3,Bens Industriais , Material de Transporte , Material Aeronáutico e de Defesa
ECPR3,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
ECPR4,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
ENAT3,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Exploração. Refino e Distribuição
ENMT4,Utilidade Pública , Energia Elétrica , Energia Elétrica
ENMT3,Utilidade Pública , Energia Elétrica , Energia Elétrica
ENGI11,Utilidade Pública , Energia Elétrica , Energia Elétrica
ENGI4,Utilidade Pública , Energia Elétrica , Energia Elétrica
ENGI3,Utilidade Pública , Energia Elétrica , Energia Elétrica
ENGI12,Utilidade Pública , Energia Elétrica , Energia Elétrica
ENEV3,Utilidade Pública , Energia Elétrica , Energia Elétrica
EGIE3,Utilidade Pública , Energia Elétrica , Energia Elétrica
EQTL3,Utilidade Pública , Energia Elétrica , Energia Elétrica
ESTC3,Consumo Cíclico , Diversos , Serviços Educacionais
ETER3,Bens Industriais , Construção e Engenharia , Produtos para Construção
EUCA4,Materiais Básicos , Madeira e Papel , Madeira
EUCA3,Materiais Básicos , Madeira e Papel , Madeira
EVEN3,Consumo Cíclico , Construção Civil , Incorporações
BAUH3,Consumo não Cíclico , Alimentos Processados , Carnes e Derivados
BAUH4,Consumo não Cíclico , Alimentos Processados , Carnes e Derivados
EZTC3,Consumo Cíclico , Construção Civil , Incorporações
VSPT1,Bens Industriais , Transporte , Transporte Ferroviário
VSPT3,Bens Industriais , Transporte , Transporte Ferroviário
VSPT4,Bens Industriais , Transporte , Transporte Ferroviário
FHER3,Materiais Básicos , Químicos , Fertilizantes e Defensivos
CRIV3,Financeiro , Intermediários Financeiros , Soc. Crédito e Financiamento
CRIV4,Financeiro , Intermediários Financeiros , Soc. Crédito e Financiamento
FNCN3,Financeiro , Intermediários Financeiros , Soc. Crédito e Financiamento
FLRY3,Saúde , Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
FLEX3,Bens Industriais , Serviços , Serviços Diversos
FRAS3,Bens Industriais , Material de Transporte , Material Rodoviário
GFSA3,Consumo Cíclico , Construção Civil , Incorporações
GAFL-CRA02B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
GAFL-CRA1DB0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
OPGM3B,Outros , Outros , Outros
GSHP3,Financeiro , Exploração de Imóveis , Exploração de Imóveis
GGBR4,Materiais Básicos , Siderurgia e Metalurgia , Siderurgia
GGBR3,Materiais Básicos , Siderurgia e Metalurgia , Siderurgia
GOLL4,Bens Industriais , Transporte , Transporte Aéreo
GPIV33,Financeiro , Serviços Financeiros Diversos , Gestão de Recursos e Investimentos
GPCP3,Materiais Básicos , Químicos , Petroquímicos
GPCP4,Materiais Básicos , Químicos , Petroquímicos
CGRA3,Consumo Cíclico , Comércio , Tecidos. Vestuário e Calçados
CGRA4,Consumo Cíclico , Comércio , Tecidos. Vestuário e Calçados
GRND3,Consumo Cíclico , Tecidos. Vestuário e Calçados , Calçados
CNTO3,Consumo Cíclico , Comércio , Produtos Diversos
GUAR3,Consumo Cíclico , Comércio , Tecidos. Vestuário e Calçados
HAGA3,Bens Industriais , Construção e Engenharia , Produtos para Construção
HAGA4,Bens Industriais , Construção e Engenharia , Produtos para Construção
HAPV3,Saúde , Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
HBOR3,Consumo Cíclico , Construção Civil , Incorporações
HETA4,Consumo Cíclico , Utilidades Domésticas , Utensílios Domésticos
HETA3,Consumo Cíclico , Utilidades Domésticas , Utensílios Domésticos
HOOT4,Consumo Cíclico , Hoteis e Restaurantes , Hotelaria
HOOT3,Consumo Cíclico , Hoteis e Restaurantes , Hotelaria
HYPE3,Saúde , Comércio e Distribuição , Medicamentos e Outros Produtos
IDNT3,Financeiro , Serviços Financeiros Diversos , Serviços Financeiros Diversos
IGBR3,Financeiro , Exploração de Imóveis , Exploração de Imóveis
IGSN3,Utilidade Pública , água e Saneamento , água e Saneamento
IGTA3,Financeiro , Exploração de Imóveis , Exploração de Imóveis
JBDU3,Outros , Outros , Outros
JBDU4,Outros , Outros , Outros
JBDU11,Outros , Outros , Outros
JBDU12,Outros , Outros , Outros
ROMI3,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
INEP3,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
INEP4,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
SLCT3B,Outros , Outros , Outros
PARD3,Saúde , Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
INNT3,Consumo Cíclico , Construção Civil , Incorporações
MEAL3,Consumo Cíclico , Hoteis e Restaurantes , Restaurante e Similares
FIGE3,Outros , Outros , Outros
FIGE4,Outros , Outros , Outros
IVPR4B,Bens Industriais , Transporte , Serviços de Apoio e Armazenagem
IVPR3B,Bens Industriais , Transporte , Serviços de Apoio e Armazenagem
MYPK3,Consumo Cíclico , Automóveis e Motocicletas , Automóveis e Motocicletas
IRBR3,Financeiro , Previdência e Seguros , Seguradoras
ITUB4,Financeiro , Intermediários Financeiros , Bancos
ITUB3,Financeiro , Intermediários Financeiros , Bancos
ITSA4,Financeiro , Intermediários Financeiros , Bancos
ITSA3,Financeiro , Intermediários Financeiros , Bancos
JBSS3,Consumo não Cíclico , Alimentos Processados , Carnes e Derivados
JPSA3,Financeiro , Exploração de Imóveis , Exploração de Imóveis
JHSF3,Consumo Cíclico , Construção Civil , Incorporações
JFEN3,Consumo Cíclico , Construção Civil , Incorporações
JOPA3,Consumo não Cíclico , Alimentos Processados , Alimentos Diversos
JOPA4,Consumo não Cíclico , Alimentos Processados , Alimentos Diversos
JSLG3,Bens Industriais , Transporte , Transporte Rodoviário
CTKA4,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
CTKA3,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
KEPL11,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
KEPL3,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
KLBN4,Materiais Básicos , Madeira e Papel , Papel e Celulose
KLBN11,Materiais Básicos , Madeira e Papel , Papel e Celulose
KLBN3,Materiais Básicos , Madeira e Papel , Papel e Celulose
KROT3,Consumo Cíclico , Diversos , Serviços Educacionais
LIGT3,Utilidade Pública , Energia Elétrica , Energia Elétrica
LINX3,Tecnologia da Informação , Programas e Serviços , Programas e Serviços
LIQO3,Bens Industriais , Serviços , Serviços Diversos
LTEL11B,Materiais Básicos , Mineração , Minerais Metálicos
LTEL5B,Materiais Básicos , Mineração , Minerais Metálicos
LTEL3B,Materiais Básicos , Mineração , Minerais Metálicos
RENT3,Consumo Cíclico , Diversos , Aluguel de carros
LOGG3,Financeiro , Exploração de Imóveis , Exploração de Imóveis
LOGN12,Bens Industriais , Transporte , Transporte Hidroviário
LOGN3,Bens Industriais , Transporte , Transporte Hidroviário
LAME4,Consumo Cíclico , Comércio , Produtos Diversos
LAME3,Consumo Cíclico , Comércio , Produtos Diversos
LREN3,Consumo Cíclico , Comércio , Tecidos. Vestuário e Calçados
SPRT3B,Outros , Outros , Outros
LPSB3,Financeiro , Exploração de Imóveis , Intermediação Imobiliária
LUPA11,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Equipamentos e Serviços
LUPA3,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Equipamentos e Serviços
LUPA1,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Equipamentos e Serviços
MDIA3,Consumo não Cíclico , Alimentos Processados , Alimentos Diversos
MSRO3,Consumo Cíclico , Diversos , Aluguel de carros
MGLU3,Consumo Cíclico , Comércio , Eletrodomésticos
LEVE3,Consumo Cíclico , Automóveis e Motocicletas , Automóveis e Motocicletas
MGEL4,Materiais Básicos , Siderurgia e Metalurgia , Artefatos de Ferro e Aço
MGEL3,Materiais Básicos , Siderurgia e Metalurgia , Artefatos de Ferro e Aço
ESTR3,Consumo Cíclico , Viagens e Lazer , Brinquedos e Jogos
ESTR4,Consumo Cíclico , Viagens e Lazer , Brinquedos e Jogos
POMO4,Bens Industriais , Material de Transporte , Material Rodoviário
POMO3,Bens Industriais , Material de Transporte , Material Rodoviário
MRFG3,Consumo não Cíclico , Alimentos Processados , Carnes e Derivados
AMAR3,Consumo Cíclico , Comércio , Tecidos. Vestuário e Calçados
MEND3,Bens Industriais , Construção e Engenharia , Construção Pesada
MEND6,Bens Industriais , Construção e Engenharia , Construção Pesada
MEND5,Bens Industriais , Construção e Engenharia , Construção Pesada
MERC4,Financeiro , Intermediários Financeiros , Soc. Crédito e Financiamento
MERC3,Financeiro , Intermediários Financeiros , Soc. Crédito e Financiamento
FRIO3,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
MTIG4,Materiais Básicos , Embalagens , Embalagens
MTIG3,Materiais Básicos , Embalagens , Embalagens
GOAU4,Materiais Básicos , Siderurgia e Metalurgia , Siderurgia
GOAU3,Materiais Básicos , Siderurgia e Metalurgia , Siderurgia
RSUL3,Bens Industriais , Material de Transporte , Material Rodoviário
RSUL4,Bens Industriais , Material de Transporte , Material Rodoviário
MTSA3,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Construção e Agrícolas
MTSA4,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Construção e Agrícolas
MILS3,Bens Industriais , Construção e Engenharia , Serviços Diversos
MMAQ3,Bens Industriais , Comércio , Material de Transporte
MMAQ4,Bens Industriais , Comércio , Material de Transporte
BEEF3,Consumo não Cíclico , Alimentos Processados , Carnes e Derivados
BEEF11,Consumo não Cíclico , Alimentos Processados , Carnes e Derivados
MNPR3,Consumo não Cíclico , Alimentos Processados , Carnes e Derivados
MMXM11,Materiais Básicos , Mineração , Minerais Metálicos
MMXM3,Materiais Básicos , Mineração , Minerais Metálicos
MOAR3,Financeiro , Holdings Diversificadas , Holdings Diversificadas
MOVI3,Consumo Cíclico , Diversos , Aluguel de carros
MRSA3B,Bens Industriais , Transporte , Transporte Ferroviário
MRSA5B,Bens Industriais , Transporte , Transporte Ferroviário
MRSA6B,Bens Industriais , Transporte , Transporte Ferroviário
MRVE3,Consumo Cíclico , Construção Civil , Incorporações
MULT3,Financeiro , Exploração de Imóveis , Exploração de Imóveis
MNDL3,Consumo Cíclico , Tecidos. Vestuário e Calçados , Acessórios
NAFG3,Consumo Cíclico , Utilidades Domésticas , Utensílios Domésticos
NAFG4,Consumo Cíclico , Utilidades Domésticas , Utensílios Domésticos
NATU3,Consumo não Cíclico , Produtos de Uso Pessoal e de Limpeza , Produtos de Uso Pessoal
NEOE3,Utilidade Pública , Energia Elétrica , Energia Elétrica
NORD3,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
NRTQ3,Saúde , Medicamentos e Outros Produtos , Medicamentos e Outros Produtos
GNDI3,Saúde , Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
NUTR3,Materiais Básicos , Químicos , Fertilizantes e Defensivos
ODPV3,Saúde , Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
OIBR4,Telecomunicações , Telecomunicações , Telecomunicações
OIBR11,Telecomunicações , Telecomunicações , Telecomunicações
OIBR3,Telecomunicações , Telecomunicações , Telecomunicações
OMGE3,Utilidade Pública , Energia Elétrica , Energia Elétrica
OPHE3B,Outros , Outros , Outros
OSXB3,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Equipamentos e Serviços
OFSA3,Saúde , Medicamentos e Outros Produtos , Medicamentos e Outros Produtos
PATI4,Materiais Básicos , Siderurgia e Metalurgia , Artefatos de Ferro e Aço
PATI3,Materiais Básicos , Siderurgia e Metalurgia , Artefatos de Ferro e Aço
PMAM3,Materiais Básicos , Siderurgia e Metalurgia , Artefatos de Cobre
PTBL3,Bens Industriais , Construção e Engenharia , Produtos para Construção
PDGS-CRI15B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
PDGR3,Consumo Cíclico , Construção Civil , Incorporações
PRIO3,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Exploração. Refino e Distribuição
BRDT3,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Exploração. Refino e Distribuição
PETR3,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Exploração. Refino e Distribuição
PETR4,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Exploração. Refino e Distribuição
PTNT4,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
PTNT3,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
PLAS3,Consumo Cíclico , Automóveis e Motocicletas , Automóveis e Motocicletas
PLAS11,Consumo Cíclico , Automóveis e Motocicletas , Automóveis e Motocicletas
PLSC-CRI1CB0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
PPAR3,Outros , Outros , Outros
FRTA3,Consumo não Cíclico , Agropecuária , Agricultura
PSSA3,Financeiro , Previdência e Seguros , Seguradoras
PSVM11,Bens Industriais , Transporte , Serviços de Apoio e Armazenagem
POSI3,Tecnologia da Informação , Computadores e Equipamentos , Computadores e Equipamentos
PPLA11,Financeiro , Serviços Financeiros Diversos , Gestão de Recursos e Investimentos
PTCA11,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
PTCA3,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
PRNR3,Bens Industriais , Serviços , Serviços Diversos
PRMN3B,Utilidade Pública , Energia Elétrica , Energia Elétrica
PFRM3,Saúde , Comércio e Distribuição , Medicamentos e Outros Produtos
PRPT3B,Outros , Outros , Outros
QUAL3,Saúde , Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
QUSW3,Tecnologia da Informação , Programas e Serviços , Programas e Serviços
RADL3,Saúde , Comércio e Distribuição , Medicamentos e Outros Produtos
RAPT3,Bens Industriais , Material de Transporte , Material Rodoviário
RAPT4,Bens Industriais , Material de Transporte , Material Rodoviário
RBRA-CRA14B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RBRA-CRA1BB0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RBRA-CRI1XB0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RBRA-CRA13B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RBRA-CRIE6B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RBRA-CRI80B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RBRA-CRA1CB0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RBRA-CRI77B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RBRA-CRA19B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RBRA-CRA16B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RBCS-CRI2RB0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RBCS-CRI2PB0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RBCS-CRI85B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RBCS-CRI2QB0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RBCS-CRI73B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RBCS-CRI86B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RBCS-CRI84B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RCSL3,Bens Industriais , Material de Transporte , Material Rodoviário
RCSL4,Bens Industriais , Material de Transporte , Material Rodoviário
REDE3,Utilidade Pública , Energia Elétrica , Energia Elétrica
RPMG3,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Exploração. Refino e Distribuição
RNEW4,Utilidade Pública , Energia Elétrica , Energia Elétrica
RNEW3,Utilidade Pública , Energia Elétrica , Energia Elétrica
RNEW11,Utilidade Pública , Energia Elétrica , Energia Elétrica
LLIS3,Consumo Cíclico , Comércio , Tecidos. Vestuário e Calçados
