index,Setor,Subsetor,Atividade
NORD,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
OHLB,Bens Industriais,Transporte,Exploração de Rodovias
POMO,Bens Industriais,Material de Transporte,Material Rodoviário
PRNR,Bens Industriais,Serviços Diversos,Serviços Diversos
PRTX,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem
PSVM,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem
PTBL,Bens Industriais,Construção e Engenharia,Produtos para Construção
PTCA,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
RAIL,Bens Industriais,Transporte,Transporte Ferroviário
RAPT,Bens Industriais,Material de Transporte,Material Rodoviário
RCSL,Bens Industriais,Material de Transporte,Material Rodoviário
RDVT,Bens Industriais,Transporte,Exploração de Rodovias
RLOG,Bens Industriais,Transporte,Transporte Ferroviário
ROMI,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
RPTA,Bens Industriais,Transporte,Exploração de Rodovias
RSUL,Bens Industriais,Material de Transporte,Material Rodoviário
RUMO,Bens Industriais,Transporte,Transporte Ferroviário
SAIP,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem
SHUL,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros"
SOND,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
STBP,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem
STTR,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas
TCNO,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
TGMA,Bens Industriais,Transporte,Transporte Rodoviário
TPIS,Bens Industriais,Transporte,Exploração de Rodovias
TRIA,Bens Industriais,Transporte,Exploração de Rodovias
TUPY,Bens Industriais,Material de Transporte,Material Rodoviário
UPAC,Bens Industriais,Transporte,Transporte Ferroviário
UPSS,Bens Industriais,Transporte,Transporte Rodoviário
UTEC,Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa
VLID,Bens Industriais,Serviços Diversos,Serviços Diversos
VOES,Bens Industriais,Transporte,Exploração de Rodovias
VSPT,Bens Industriais,Transporte,Transporte Ferroviário
WEGE,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros"
WLMM,Bens Industriais,Comércio,Material de Transporte
WSON,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem
ABRE,Consumo Cíclico,Diversos,Serviços Educacionais
AEDU,Consumo Cíclico,Diversos,Serviços Educacionais
AHEB,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
ALPA,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
AMAR,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
AMZO,Consumo Cíclico,Comércio,Produtos Diversos
ANIM,Consumo Cíclico,Diversos,Serviços Educacionais
ARZZ,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
BAHI,Consumo Cíclico,Diversos,Serviços Educacionais
BBYY,Consumo Cíclico,Comércio,Eletrodomésticos
BISA,Consumo Cíclico,Construção Civil,Incorporações
BKBR,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares
BMKS,Consumo Cíclico,Viagens e Lazer,Bicicletas
BTOW,Consumo Cíclico,Comércio,Produtos Diversos
CALI,Consumo Cíclico,Construção Civil,Incorporações
CAMB,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
CATA,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CEDO,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CGRA,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
CMCS,Consumo Cíclico,Mídia,Produção e Difusão de Filmes e Programas
CNSY,Consumo Cíclico,Mídia,Produção e Difusão de Filmes e Programas
COWC,Consumo Cíclico,Comércio,Produtos Diversos
CRDE,Consumo Cíclico,Construção Civil,Incorporações
CTKA,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CTNM,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CTSA,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CVCB,Consumo Cíclico,Viagens e Lazer,Viagens e Turismo
CYRE,Consumo Cíclico,Construção Civil,Incorporações
DAGB,Consumo Cíclico,Comércio,Produtos Diversos
DIRR,Consumo Cíclico,Construção Civil,Incorporações
DISB,Consumo Cíclico,Mídia,Produção e Difusão de Filmes e Programas
DOHL,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
DUFB,Consumo Cíclico,Comércio,Produtos Diversos
ECPR,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
ESTC,Consumo Cíclico,Diversos,Serviços Educacionais
ESTR,Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos
EVEN,Consumo Cíclico,Construção Civil,Incorporações
EZTC,Consumo Cíclico,Construção Civil,Incorporações
FDMO,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas
GFSA,Consumo Cíclico,Construção Civil,Incorporações
GMCO,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas
GPRO,Consumo Cíclico,Utilidades Domésticas,Eletrodomésticos
GPSI,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
GRND,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
GUAR,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
HBOR,Consumo Cíclico,Construção Civil,Incorporações
HCBR,Consumo Cíclico,Comércio,Produtos Diversos
HETA,Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos
HGTX,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Vestuário
HOME,Consumo Cíclico,Comércio,Produtos Diversos
HOOT,Consumo Cíclico,Hoteis e Restaurantes,Hotelaria
IMCH,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares
INNT,Consumo Cíclico,Construção Civil,Incorporações
JCPC,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
JFEN,Consumo Cíclico,Construção Civil,Incorporações
JHSF,Consumo Cíclico,Construção Civil,Incorporações
KROT,Consumo Cíclico,Diversos,Serviços Educacionais
LAME,Consumo Cíclico,Comércio,Produtos Diversos
LBRN,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
LCAM,Consumo Cíclico,Diversos,Aluguel de carros
LEVE,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas
LLIS,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
LREN,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
MACY,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
MCDC,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares
MEAL,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares
MGLU,Consumo Cíclico,Comércio,Eletrodomésticos
MNDL,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios
MOVI,Consumo Cíclico,Diversos,Aluguel de carros
MPLU,Consumo Cíclico,Diversos,Programas de Fidelização
MRVE,Consumo Cíclico,Construção Civil,Incorporações
MSRO,Consumo Cíclico,Diversos,Aluguel de carros
MYPK,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas
NAFG,Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos
NFLX,Consumo Cíclico,Mídia,Produção e Difusão de Filmes e Programas
NIKE,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
PDGR,Consumo Cíclico,Construção Civil,Incorporações
PLAS,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas
PTNT,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
RDNI,Consumo Cíclico,Construção Civil,Incorporações
RENT,Consumo Cíclico,Diversos,Aluguel de carros
ROST,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
RSID,Consumo Cíclico,Construção Civil,Incorporações
SBUB,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares
SEDU,Consumo Cíclico,Diversos,Serviços Educacionais
SEER,Consumo Cíclico,Diversos,Serviços Educacionais
SGPS,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
SHOW,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
SLED,Consumo Cíclico,Comércio,Produtos Diversos
SMFT,Consumo Cíclico,Viagens e Lazer,Atividades Esportivas
SMLE,Consumo Cíclico,Diversos,Programas de Fidelização
SMLS,Consumo Cíclico,Diversos,Programas de Fidelização
TCSA,Consumo Cíclico,Construção Civil,Incorporações
TECN,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios
TEKA,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
TEND,Consumo Cíclico,Construção Civil,Incorporações
TIFF,Consumo Cíclico,Comércio,Produtos Diversos
TOYB,Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos
TRIS,Consumo Cíclico,Construção Civil,Incorporações
TSLA,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas
TWXB,Consumo Cíclico,Mídia,Produção e Difusão de Filmes e Programas
TXRX,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
UCAS,Consumo Cíclico,Utilidades Domésticas,Móveis
UNID,Consumo Cíclico,Diversos,Aluguel de carros
VIVR,Consumo Cíclico,Construção Civil,Incorporações
VULC,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
VVAR,Consumo Cíclico,Comércio,Eletrodomésticos
WHRL,Consumo Cíclico,Utilidades Domésticas,Eletrodomésticos
ABEV,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes
AGRO,Consumo não Cíclico,Agropecuária,Agricultura
AMBV,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes
APTI,Consumo não Cíclico,Agropecuária,Agricultura
AVON,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal
BAUH,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
BEEF,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
BOBR,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza
BRFS,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
BSEV,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool
CAML,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
COCA,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes
COLG,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal
COTY,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal
CRFB,Consumo não Cíclico,Comércio e Distribuição,Alimentos
CRUZ,Consumo não Cíclico,Fumo,Cigarros e Fumo
FMXB,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes
FRTA,Consumo não Cíclico,Agropecuária,Agricultura
HSHY,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
JBSS,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
JMCD,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
JOPA,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
KHCB,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
KMBB,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal
MDIA,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
MDLZ,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
MNPR,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
MRFG,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
NATU,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal
ODER,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
PCAR,Consumo não Cíclico,Comércio e Distribuição,Alimentos
PEPB,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes
PGCO,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal
RESA,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool
SLCE,Consumo não Cíclico,Agropecuária,Agricultura
SMTO,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool
TESA,Consumo não Cíclico,Agropecuária,Agricultura
TGTB,Consumo não Cíclico,Comércio e Distribuição,Alimentos
WALM,Consumo não Cíclico,Comércio e Distribuição,Alimentos
ABCB,Financeiro,Intermediários Financeiros,Bancos
AIGB,Financeiro,Previdência e Seguros,Seguradoras
ALSC,Financeiro,Exploração de Imóveis,Exploração de Imóveis
ANDG,Financeiro,Holdings Diversificadas,Holdings Diversificadas
APCS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
APER,Financeiro,Previdência e Seguros,Corretoras de Seguros
AXPB,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
B3SA,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
BAZA,Financeiro,Intermediários Financeiros,Bancos
BBAS,Financeiro,Intermediários Financeiros,Bancos
BBDC,Financeiro,Intermediários Financeiros,Bancos
BBRK,Financeiro,Exploração de Imóveis,Intermediação Imobiliária
BBSE,Financeiro,Previdência e Seguros,Seguradoras
BBTG,Financeiro,Intermediários Financeiros,Bancos
BDLS,Financeiro,Intermediários Financeiros,Soc. Arrendamento Mercantil
BEES,Financeiro,Intermediários Financeiros,Bancos
BERK,Financeiro,Holdings Diversificadas,Holdings Diversificadas
BFRE,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
BGIP,Financeiro,Intermediários Financeiros,Bancos
BIDI,Financeiro,Intermediários Financeiros,Bancos
BLAK,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
BMEB,Financeiro,Intermediários Financeiros,Bancos
BMIN,Financeiro,Intermediários Financeiros,Bancos
BNBR,Financeiro,Intermediários Financeiros,Bancos
BNDP,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
BOAC,Financeiro,Intermediários Financeiros,Bancos
BONY,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
BOXP,Financeiro,Exploração de Imóveis,Exploração de Imóveis
BPAC,Financeiro,Intermediários Financeiros,Bancos
BPAN,Financeiro,Intermediários Financeiros,Bancos
BPAR,Financeiro,Intermediários Financeiros,Bancos
BPAT,Financeiro,Intermediários Financeiros,Bancos
BRCS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
BRGE,Financeiro,Previdência e Seguros,Seguradoras
BRIN,Financeiro,Previdência e Seguros,Corretoras de Seguros
BRIV,Financeiro,Intermediários Financeiros,Bancos
BRML,Financeiro,Exploração de Imóveis,Exploração de Imóveis
BRPR,Financeiro,Exploração de Imóveis,Exploração de Imóveis
BRSR,Financeiro,Intermediários Financeiros,Bancos
BSCS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
BSLI,Financeiro,Intermediários Financeiros,Bancos
BTTL,Financeiro,Holdings Diversificadas,Holdings Diversificadas
BVLS,Financeiro,Intermediários Financeiros,Soc. Arrendamento Mercantil
BVMF,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
BZRS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
CANT,Financeiro,Holdings Diversificadas,Holdings Diversificadas
CBSC,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
CCPR,Financeiro,Exploração de Imóveis,Exploração de Imóveis
CIEL,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
CORR,Financeiro,Exploração de Imóveis,Exploração de Imóveis
CRIV,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento
CSAB,Financeiro,Previdência e Seguros,Seguradoras
CTBA,Financeiro,Outros Títulos,Outros Títulos
CTGP,Financeiro,Intermediários Financeiros,Bancos
CTIP,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
DBEN,Financeiro,Intermediários Financeiros,Soc. Arrendamento Mercantil
DHER,Financeiro,Holdings Diversificadas,Holdings Diversificadas
DWDP,Financeiro,Holdings Diversificadas,Holdings Diversificadas
ECOA,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
FNCN,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento
GAFL,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
GAIA,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
GEOO,Financeiro,Holdings Diversificadas,Holdings Diversificadas
GPIV,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
GSGI,Financeiro,Intermediários Financeiros,Bancos
GSHP,Financeiro,Exploração de Imóveis,Exploração de Imóveis
HBTS,Financeiro,Exploração de Imóveis,Exploração de Imóveis
HONB,Financeiro,Holdings Diversificadas,Holdings Diversificadas
IDNT,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
IDVL,Financeiro,Intermediários Financeiros,Bancos
IGBR,Financeiro,Exploração de Imóveis,Exploração de Imóveis
IGTA,Financeiro,Exploração de Imóveis,Exploração de Imóveis
IRBR,Financeiro,Previdência e Seguros,Seguradoras
ITSA,Financeiro,Intermediários Financeiros,Bancos
ITUB,Financeiro,Intermediários Financeiros,Bancos
JPMC,Financeiro,Intermediários Financeiros,Bancos
JPSA,Financeiro,Exploração de Imóveis,Exploração de Imóveis
LHER,Financeiro,Exploração de Imóveis,Exploração de Imóveis
LOGG,Financeiro,Exploração de Imóveis,Exploração de Imóveis
LPSB,Financeiro,Exploração de Imóveis,Intermediação Imobiliária
MCRJ,Financeiro,Outros Títulos,Outros Títulos
MERC,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento
METB,Financeiro,Previdência e Seguros,Seguradoras
MMMC,Financeiro,Holdings Diversificadas,Holdings Diversificadas
MNZC,Financeiro,Exploração de Imóveis,Exploração de Imóveis
MOAR,Financeiro,Holdings Diversificadas,Holdings Diversificadas
MSBR,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
MSCD,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
MULT,Financeiro,Exploração de Imóveis,Exploração de Imóveis
OCTS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
PARC,Financeiro,Previdência e Seguros,Corretoras de Seguros
PDGS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
PEAB,Financeiro,Holdings Diversificadas,Holdings Diversificadas
PINE,Financeiro,Intermediários Financeiros,Bancos
PLSC,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
PMSP,Financeiro,Outros Títulos,Outros Títulos
PPLA,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
PRBC,Financeiro,Intermediários Financeiros,Bancos
PSSA,Financeiro,Previdência e Seguros,Seguradoras
RBCS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
RBRA,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
RPAD,Financeiro,Intermediários Financeiros,Bancos
SANB,Financeiro,Intermediários Financeiros,Bancos
SCAR,Financeiro,Exploração de Imóveis,Exploração de Imóveis
SCHW,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
SFSA,Financeiro,Intermediários Financeiros,Bancos
SPRI,Financeiro,Holdings Diversificadas,Holdings Diversificadas
SSBR,Financeiro,Exploração de Imóveis,Exploração de Imóveis
SULA,Financeiro,Previdência e Seguros,Seguradoras
TRPN,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
TRVC,Financeiro,Previdência e Seguros,Seguradoras
UBSG,Financeiro,Intermediários Financeiros,Bancos
USBC,Financeiro,Intermediários Financeiros,Bancos
VERT,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
VISA,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
WFCO,Financeiro,Intermediários Financeiros,Bancos
WIZS,Financeiro,Previdência e Seguros,Corretoras de Seguros
WTPI,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
WTVR,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
WUNI,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
ARMT,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
BRAP,Materiais Básicos,Mineração,Minerais Metálicos
BRKM,Materiais Básicos,Químicos,Petroquímicos
CRPG,Materiais Básicos,Químicos,Químicos Diversos
CSNA,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
DOWB,Materiais Básicos,Químicos,Petroquímicos
DTEX,Materiais Básicos,Madeira e Papel,Madeira
DUPO,Materiais Básicos,Químicos,Químicos Diversos
ELEK,Materiais Básicos,Químicos,Petroquímicos
EUCA,Materiais Básicos,Madeira e Papel,Madeira
FCXO,Materiais Básicos,Mineração,Minerais Metálicos
FESA,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
FFTL,Materiais Básicos,Químicos,Fertilizantes e Defensivos
FHER,Materiais Básicos,Químicos,Fertilizantes e Defensivos
FIBR,Materiais Básicos,Madeira e Papel,Papel e Celulose
GGBR,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
GOAU,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
GPCP,Materiais Básicos,Químicos,Petroquímicos
KLBN,Materiais Básicos,Madeira e Papel,Papel e Celulose
LTEL,Materiais Básicos,Mineração,Minerais Metálicos
MAGG,Materiais Básicos,Materiais Diversos,Materiais Diversos
MGEL,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
MMXM,Materiais Básicos,Mineração,Minerais Metálicos
MOSC,Materiais Básicos,Químicos,Fertilizantes e Defensivos
MSPA,Materiais Básicos,Madeira e Papel,Papel e Celulose
MTIG,Materiais Básicos,Embalagens,Embalagens
NEMO,Materiais Básicos,Madeira e Papel,Papel e Celulose
NUTR,Materiais Básicos,Químicos,Fertilizantes e Defensivos
PATI,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
PMAM,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Cobre
RANI,Materiais Básicos,Madeira e Papel,Papel e Celulose
SNSY,Materiais Básicos,Materiais Diversos,Materiais Diversos
STTZ,Materiais Básicos,Madeira e Papel,Papel e Celulose
SUZB,Materiais Básicos,Madeira e Papel,Papel e Celulose
TKNO,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
UNIP,Materiais Básicos,Químicos,Químicos Diversos
USIM,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
USSX,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
VALE,Materiais Básicos,Mineração,Minerais Metálicos
ALEF,Outros,Outros,Outros
ATOM,Outros,Outros,Outros
BETP,Outros,Outros,Outros
CABI,Outros,Outros,Outros
CACO,Outros,Outros,Outros
CCXC,Outros,Outros,Outros
CMSA,Outros,Outros,Outros
CPTP,Outros,Outros,Outros
ETRO,Outros,Outros,Outros
FIGE,Outros,Outros,Outros
JBDU,Outros,Outros,Outros
MAPT,Outros,Outros,Outros
MGIP,Outros,Outros,Outros
OPGM,Outros,Outros,Outros
OPHE,Outros,Outros,Outros
OPSE,Outros,Outros,Outros
OPTS,Outros,Outros,Outros
PPAR,Outros,Outros,Outros
PRPT,Outros,Outros,Outros
QVQP,Outros,Outros,Outros
SLCT,Outros,Outros,Outros
SPRT,Outros,Outros,Outros
ANDV,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
BRDT,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
CHKE,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
CHVX,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
COPH,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
CSAN,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
DMMO,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
EXXO,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
HALI,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços
HRTP,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
LUPA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços
OGXP,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
OSXB,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços
PETR,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
PRIO,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
QGEP,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
RIGG,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços
RPMG,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
SANC,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
SLBG,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços
UGPA,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
VLOE,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
AALR,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
ABBV,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
ABTT,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
ADHM,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
AETB,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
AMGN,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
AMIL,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
BALM,Saúde,Equipamentos,Equipamentos
BIIB,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
BIOM,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
BMYB,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
BPHA,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
CLGN,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
CREM,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
CVSH,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
DASA,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
DROG,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
FLRY,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
GBIO,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
GILD,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
GNDI,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
HAPV,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
